Property_ID,Latitude,Longitude,Rent_PKR,Square_Footage,Max_Daily_Orders
PROP-001,25.025421442096707,67.07707627727343,137753,4284,2142
PROP-002,24.857982796927747,67.12888022952671,141085,1472,736
PROP-003,24.69933987055112,66.8513046205163,108510,3697,1848
PROP-004,25.007722020283303,67.03677752398453,92221,3125,1562
PROP-005,24.797351000442006,67.20775079033085,122790,1886,943
PROP-006,24.94454814903829,67.23254803590186,110531,2808,1404
PROP-007,24.72938376088708,66.9968327124342,80952,4549,2274
PROP-008,24.99608316356596,67.10617199469709,104792,4559,2279
PROP-009,24.988852222672712,67.1223896639552,145174,977,488
PROP-010,24.8055859721321,67.22364628070598,54693,566,283
PROP-011,24.974986430522225,67.00780716280019,93230,684,342
PROP-012,24.79991882185853,67.12282042291976,63215,3057,1528
PROP-013,24.797894860667316,67.06757621845674,132561,2082,1041
PROP-014,24.94188637523764,67.15551091126828,81413,3288,1644
PROP-015,25.02636356169403,66.85855792759219,56996,4329,2164
PROP-016,24.682799286749617,67.20179140759298,141760,2302,1151
PROP-017,25.04707995582035,66.8913954988839,76606,3033,1516
PROP-018,24.906935258330204,67.04946272103957,76685,3233,1616
PROP-019,25.054964392690295,66.87262311169154,57004,3324,1662
PROP-020,24.776315856974108,67.03974961376457,114703,4870,2435
PROP-021,24.70473331163017,67.19445731007444,139875,4881,2440
PROP-022,24.694160663740234,67.02390722112607,68115,2910,1455
PROP-023,24.85467461170624,66.87913047976915,62385,4753,2376
PROP-024,24.910217870422464,67.08346770593872,85414,1579,789
PROP-025,24.791465419024764,67.05803873593975,81150,3714,1857
PROP-026,24.84837841004585,66.88448970497467,74252,1125,562
PROP-027,25.010740675704483,66.86612768373824,147904,4738,2369
PROP-028,24.68498530396989,67.16437783994104,106117,643,321
PROP-029,24.94320636807361,67.21930031245776,92675,4842,2421
PROP-030,24.938638993988565,66.97186471552563,55366,1048,524
PROP-031,24.9963088499911,67.07192602303412,51323,697,348
PROP-032,24.672402549554956,66.99608934324952,83241,2067,1033
PROP-033,24.870534130478763,66.96967700143635,145968,3907,1953
PROP-034,24.84934452465407,67.24948498262172,56929,1354,677
PROP-035,24.91427245422126,67.21215179476172,108728,4118,2059
PROP-036,25.014477886919675,67.04991797474956,86474,2796,1398
PROP-037,24.83680161735328,66.95546492931385,149664,3995,1997
PROP-038,24.73075711706082,66.90000935896896,55268,2655,1327
PROP-039,24.767463963503488,67.21635100186006,70446,3439,1719
PROP-040,24.68405849548448,67.11936152207888,77299,2616,1308
PROP-041,24.750323858019133,66.87303903900195,104050,3698,1849
PROP-042,24.87956798876196,67.04610125928355,123930,3050,1525
PROP-043,24.690726202137427,67.0414133588292,96482,4583,2291
PROP-044,24.701213578749805,67.24401109133082,145944,1671,835
PROP-045,24.78778872354428,67.24335081632243,116328,3395,1697
PROP-046,24.677748671779348,67.0824904185846,131444,705,352
PROP-047,24.718550798343507,67.17642252982357,81935,1931,965
PROP-048,24.944416888018907,66.9756323470466,88348,2289,1144
PROP-049,25.04269562192485,66.9973325081475,149881,3848,1924
PROP-050,24.91121738016286,67.01435621500703,89484,1194,597
PROP-051,25.044883448365177,66.98388709407776,132686,2056,1028
PROP-052,25.05149729304232,67.21093208730912,72219,2494,1247
PROP-053,24.97483999289064,66.95287565063296,115852,1727,863
PROP-054,25.0128404277002,67.10774265703601,149928,3384,1692
PROP-055,24.83120193328561,66.88887286957787,78875,2665,1332
PROP-056,24.97099655885828,67.0142838886965,108298,1027,513
PROP-057,24.990115590866782,67.01201059844985,51144,4519,2259
PROP-058,24.68416532041223,67.08595792848276,108198,1594,797
PROP-059,24.818225596392747,67.05939347538921,133161,2230,1115
PROP-060,25.01952700427965,66.93731454868373,72276,3368,1684
PROP-061,24.95150842584471,67.20558146738973,88082,1429,714
PROP-062,25.006551881749857,66.95686357214689,120459,621,310
PROP-063,24.939750436470337,67.02772381638056,57490,2558,1279
PROP-064,24.746883813185526,67.08755631085089,110829,2597,1298
PROP-065,24.80872427727225,67.01899604867053,52398,3490,1745
PROP-066,24.8746448654182,66.97886098868746,144359,2667,1333
PROP-067,24.807889207541542,67.01659421234592,58644,2037,1018
PROP-068,24.82215815190952,67.17199569860865,149749,2862,1431
PROP-069,25.002947007306258,66.86934844613661,133829,1869,934
PROP-070,24.722819678564203,67.24284096943713,141618,1491,745
PROP-071,24.70245352954136,67.23365884092425,131547,1757,878
PROP-072,24.799079652255895,67.05360163945758,77887,3198,1599
PROP-073,24.725128959956805,66.87264352048925,147020,4776,2388
PROP-074,25.005256814756557,67.12293140311087,137395,4791,2395
PROP-075,24.770226302493608,66.90543310642722,72831,1578,789
PROP-076,24.82852394458827,67.00965866472403,81379,3656,1828
PROP-077,24.703089262740537,67.04833925012407,84472,2861,1430
PROP-078,24.90160751031296,67.01043070222457,84142,835,417
PROP-079,24.794738742434227,67.01171284981486,137515,1079,539
PROP-080,24.939526952205096,66.98640414649496,117623,947,473
PROP-081,25.02661661822283,67.1653623757394,107326,3667,1833
PROP-082,24.919977506464612,66.97040003717412,109816,4505,2252
PROP-083,24.949119290252543,67.03167605880326,51511,4974,2487
PROP-084,24.899047395654907,67.01582368978147,91616,4372,2186
PROP-085,24.916725559458683,67.02696733256208,66635,4752,2376
PROP-086,24.95158983308821,66.96498408440739,121936,2929,1464
PROP-087,24.68897355925164,67.24057138450308,60656,1700,850
PROP-088,24.8668013363969,67.01687026964923,63977,1373,686
PROP-089,24.91473676068683,67.21050636369097,59121,1972,986
PROP-090,24.661887038575053,66.87089929910681,146004,2998,1499
PROP-091,24.9709290305084,67.19897671941857,98459,3730,1865
PROP-092,24.700435741706457,66.88653206596351,136514,1913,956
PROP-093,25.005126404108825,66.86939701524432,141555,4954,2477
PROP-094,24.984499228008826,67.24233825905897,60097,2063,1031
PROP-095,25.016116279481388,67.05591188744222,119948,4461,2230
PROP-096,24.862611613733424,67.24592209848062,58537,3744,1872
PROP-097,24.77176143386464,67.19168761408864,85402,4796,2398
PROP-098,24.897487487458125,67.23775664658818,105883,4876,2438
PROP-099,24.856326012702997,66.8598329695494,67648,3103,1551
PROP-100,25.025050929556883,67.14532560985658,79483,4846,2423
PROP-101,24.97852097232627,67.13647167631649,111294,1666,833
PROP-102,24.967502593199598,67.19827090638887,68905,4584,2292
PROP-103,24.868876324846397,67.0426297820803,132403,2327,1163
PROP-104,24.701405669007038,67.1861903805109,140021,3219,1609
PROP-105,24.850192775588237,67.08255619526189,86708,2238,1119
PROP-106,24.73391501205384,67.11149047926246,53182,1073,536
PROP-107,25.051130002182767,66.93916687211664,88051,2195,1097
PROP-108,24.948577568621324,67.0471142303326,149355,4618,2309
PROP-109,24.74702306550795,66.9752885183987,73600,4123,2061
PROP-110,24.939100588250547,67.20304703642219,131540,2563,1281
PROP-111,24.90297390044332,67.17811711807616,100975,2617,1308
PROP-112,24.81305848810401,67.12687852331408,133942,4144,2072
PROP-113,24.83149431526078,67.0518725342073,73435,1600,800
PROP-114,24.704477284791533,67.17870528480019,103860,801,400
PROP-115,24.75842243995129,67.00486222909075,60017,4427,2213
PROP-116,24.66654720878823,67.18334655647418,81352,1963,981
PROP-117,24.837026326307285,67.14353882014996,121440,2423,1211
PROP-118,24.697265819486223,66.98569530589381,102770,3114,1557
PROP-119,24.925418479777655,66.90492189596549,114688,1187,593
PROP-120,24.823672456713904,67.07851421132435,112802,1898,949
PROP-121,24.970141461118686,66.99364794919246,93330,4082,2041
PROP-122,24.773682623276954,67.10383816716015,59473,3679,1839
PROP-123,24.9270691172602,67.19012150302602,100867,578,289
PROP-124,24.895179401839503,66.93389844627417,52373,4018,2009
PROP-125,25.024727686573343,67.15123753756254,90788,4832,2416
PROP-126,24.95516204325584,67.0112641478215,60387,2744,1372
PROP-127,24.773323323177017,66.94459315578449,65349,3365,1682
PROP-128,24.954887656339807,67.14134967093615,124607,560,280
PROP-129,24.844938589993028,67.04079680334873,134521,4100,2050
PROP-130,24.85876081216443,67.03672455475692,96440,3234,1617
PROP-131,24.819233735523497,67.05233259566474,78623,1467,733
PROP-132,24.954798446546413,66.99982957559152,100677,815,407
PROP-133,24.89134372472365,66.96849771834992,95737,4672,2336
PROP-134,25.025909435725342,66.95830458666966,138228,3429,1714
PROP-135,24.920147138285145,66.86448241731757,122320,3444,1722
PROP-136,24.975766273642108,66.92630565857897,95370,3745,1872
PROP-137,24.79290803842481,67.0838765645626,93910,3345,1672
PROP-138,24.905250184112568,67.12774955205036,123412,2294,1147
PROP-139,24.838974371760223,67.1621597393007,79217,551,275
PROP-140,24.774890627126386,67.24166665681058,133856,4353,2176
PROP-141,24.963688764746536,67.03069409888846,109284,3556,1778
PROP-142,24.95349759365326,67.05093381727893,111140,3362,1681
PROP-143,25.0323377239698,67.09164164321629,92205,1752,876
PROP-144,24.88874321067007,67.21819734494368,122162,2033,1016
PROP-145,24.788067908167235,67.00298222187865,82971,4481,2240
PROP-146,24.678678852817693,67.07845410219451,118534,1884,942
PROP-147,24.663431104555094,67.0128958254188,76760,3871,1935
PROP-148,24.87853013212717,66.93052408274063,89636,1999,999
PROP-149,24.919228399260614,67.2149122586513,82926,4577,2288
PROP-150,24.916921001069426,67.17315315587366,132733,1330,665
PROP-151,24.73570998504176,66.96790674600183,124674,3493,1746
PROP-152,24.900249767576533,66.97737793790223,119901,2813,1406
PROP-153,25.04926411066753,67.19933836072474,127626,1683,841
PROP-154,24.76291899238545,67.14982835842,115142,909,454
PROP-155,24.80131955348045,67.15106462269249,131142,4523,2261
PROP-156,24.844256859357916,66.85422450908283,109464,1386,693
PROP-157,24.772247357366435,67.162064516134,94933,1515,757
PROP-158,25.03729741205817,66.96479965966785,79157,2434,1217
PROP-159,24.93241239153023,66.9222550862582,77650,3786,1893
PROP-160,24.88040672075721,66.90679367495055,128446,3589,1794
PROP-161,24.92741816044748,66.93532758261273,78291,2930,1465
PROP-162,25.01051410177512,66.96769905843949,79596,1631,815
PROP-163,24.78011626733617,67.08245236776976,50499,2044,1022
PROP-164,24.863849986785407,67.058781431414,58261,2311,1155
PROP-165,24.825586201612197,67.00798702394235,71849,754,377
PROP-166,24.67625554755918,66.8656336719222,76159,2975,1487
PROP-167,24.886874854843438,66.90354434223053,78990,1525,762
PROP-168,24.74361334795044,67.05053794729308,70299,3102,1551
PROP-169,24.984231740768926,67.1920270275594,113465,1421,710
PROP-170,24.809554606492703,67.10184060891177,52434,3839,1919
PROP-171,24.91024435891872,67.09859141514121,95361,1879,939
PROP-172,24.773382551867638,66.91118562449685,68677,2228,1114
PROP-173,25.03250405674984,67.11743047452148,102976,1881,940
PROP-174,25.017280920907417,67.07346691143795,121931,3260,1630
PROP-175,24.89335936953501,66.9772077437148,131913,718,359
PROP-176,25.024575258318787,66.9816691087019,130750,2597,1298
PROP-177,24.753427491667747,67.0643150690429,111235,4636,2318
PROP-178,24.79156667367212,67.09521197421132,63788,4931,2465
PROP-179,24.76457051037628,67.16626851393202,104869,2126,1063
PROP-180,24.90987706846917,66.86738317344198,93025,1629,814
PROP-181,24.944237754580342,66.94712274101364,116760,2037,1018
PROP-182,24.671328125386683,67.20676674667499,113733,3518,1759
PROP-183,25.01537418623668,66.97658359965564,88093,4151,2075
PROP-184,24.875851821117337,67.06419610847473,125520,1300,650
PROP-185,24.84072884461165,67.03654970679354,66473,4099,2049
PROP-186,24.866751203119804,66.87996420578307,56349,2346,1173
PROP-187,24.808346172182837,67.11422187369757,145733,4828,2414
PROP-188,24.82071133258052,67.18630561686552,88396,666,333
PROP-189,25.04955442190049,67.20050315278186,86207,1909,954
PROP-190,24.818738012578635,67.07467877740338,50650,2296,1148
PROP-191,24.83657691152172,66.97890456888187,109221,2492,1246
PROP-192,24.736145157235512,66.9290435285673,111812,3565,1782
PROP-193,25.04164032431945,66.96498402548316,77756,2794,1397
PROP-194,25.025946776627816,67.1091949423212,86095,1367,683
PROP-195,24.839079862947045,67.0558615469602,144955,2865,1432
PROP-196,24.965688629702484,67.06301915443883,63729,4490,2245
PROP-197,24.938934635228577,67.04769504896429,97287,2261,1130
PROP-198,24.88873082994025,67.10295785458682,85412,3284,1642
PROP-199,25.018125047644048,67.12932185984539,75550,2071,1035
PROP-200,24.92205463820388,67.02672759079584,111833,3708,1854
PROP-201,24.80817904974726,67.168615710656,131434,3698,1849
PROP-202,24.755596416739177,67.14179224232724,76806,635,317
PROP-203,25.00723807674837,67.14272391734353,62969,2974,1487
PROP-204,24.857898128887594,66.98097003248903,107119,708,354
PROP-205,24.6925880863561,66.86322418583043,144002,836,418
PROP-206,24.674306817335196,66.90270073157886,101077,4616,2308
PROP-207,24.67579901815863,67.06978355336571,106088,2775,1387
PROP-208,24.66063355391404,66.9297581506241,51307,4561,2280
PROP-209,24.833358694241756,66.91986739030332,123965,4425,2212
PROP-210,24.716505568119423,67.12081469861127,51615,2213,1106
PROP-211,24.77765702695684,67.24029690117808,75636,4276,2138
PROP-212,24.892068212564077,67.08987558340087,89261,4840,2420
PROP-213,24.6733419081571,66.945332208789,84024,1709,854
PROP-214,24.93781598299993,67.18971248155708,113866,3777,1888
PROP-215,24.66577094878171,67.04226648726898,117997,3785,1892
PROP-216,24.98669877051412,66.92677523484036,118089,4642,2321
PROP-217,24.87656609373104,67.21882592907059,146825,3840,1920
PROP-218,24.835433728976252,67.16692666373359,125557,4055,2027
PROP-219,24.988991964927035,67.10852330829307,90563,4061,2030
PROP-220,24.953479156487763,67.14352834869801,132257,4726,2363
PROP-221,24.90979760969129,66.89480808661075,83797,3339,1669
PROP-222,24.777770827070693,66.96139536863947,127477,2966,1483
PROP-223,25.01440324354312,66.94303374418224,117718,3316,1658
PROP-224,24.913403294663,66.99360466681239,59534,3840,1920
PROP-225,24.99020883537796,66.99564286845253,61062,4080,2040
PROP-226,24.838609349247672,66.89121589899231,147949,4942,2471
PROP-227,24.709227901130603,67.1999489784271,115268,4092,2046
PROP-228,24.934735666649367,67.24458224771183,123055,2131,1065
PROP-229,24.706888622423136,66.9438854945508,123682,1240,620
PROP-230,24.99471536638902,66.92597729945138,148933,4962,2481
PROP-231,24.72300442979503,67.15410731102793,60153,4032,2016
